tema,livello,id_1,id_2,similarita
Mistero,A,1,2,0.04845318827094099
Mistero,A,1,3,0.08782674499585913
Mistero,A,1,4,0.11249605723257391
Mistero,A,1,5,0.05667847834405955
Mistero,A,2,3,0.020937673467781023
Mistero,A,2,4,0.048451091831142476
Mistero,A,2,5,0.1594515986501716
Mistero,A,3,4,0.08580539330571185
Mistero,A,3,5,0.023129287183502448
Mistero,A,4,5,0.04886903204588787
Mistero,B,1,2,0.10900707189503919
Mistero,B,1,3,0.14250292213088314
Mistero,B,1,4,0.14979685528899425
Mistero,B,1,5,0.15580795670061473
Mistero,B,2,3,0.11280857689658491
Mistero,B,2,4,0.1345835886808036
Mistero,B,2,5,0.12766983037348106
Mistero,B,3,4,0.16388550716818576
Mistero,B,3,5,0.12839260408231976
Mistero,B,4,5,0.13469592118612236
Mistero,C,1,2,0.19516649744509548
Mistero,C,1,3,0.25900137529888406
Mistero,C,1,4,0.2151014262870145
Mistero,C,1,5,0.2964983282692842
Mistero,C,2,3,0.2189060792556271
Mistero,C,2,4,0.16347828291137825
Mistero,C,2,5,0.19655656485409453
Mistero,C,3,4,0.16589109154414144
Mistero,C,3,5,0.22919669076679564
Mistero,C,4,5,0.2010537020871132
Viaggio,A,1,2,0.03999810401369913
Viaggio,A,1,3,0.05979103815879219
Viaggio,A,1,4,0.13510106958224888
Viaggio,A,1,5,0.048845642595087876
Viaggio,A,2,3,0.07710189331671112
Viaggio,A,2,4,0.028209617240910027
Viaggio,A,2,5,0.05917760166735545
Viaggio,A,3,4,0.07504487784865507
Viaggio,A,3,5,0.16942097831208128
Viaggio,A,4,5,0.06199127585377711
Viaggio,B,1,2,0.10145929577783436
Viaggio,B,1,3,0.13461501013215346
Viaggio,B,1,4,0.12399419977067672
Viaggio,B,1,5,0.086378005003534
Viaggio,B,2,3,0.18907403932719294
Viaggio,B,2,4,0.18510387172486792
Viaggio,B,2,5,0.14372533652252023
Viaggio,B,3,4,0.13678249708424517
Viaggio,B,3,5,0.1387909639219843
Viaggio,B,4,5,0.1276567289960376
Viaggio,C,1,2,0.1833016266854321
Viaggio,C,1,3,0.1963943636026168
Viaggio,C,1,4,0.17326347318016316
Viaggio,C,1,5,0.20853761970031767
Viaggio,C,2,3,0.1981958176298662
Viaggio,C,2,4,0.16017796202323456
Viaggio,C,2,5,0.23288319530508328
Viaggio,C,3,4,0.20199615515663014
Viaggio,C,3,5,0.23955299085039639
Viaggio,C,4,5,0.19539869810701532
Sogno,A,1,2,0.13673114577551118
Sogno,A,1,3,0.039905813612107224
Sogno,A,1,4,0.0386879809953312
Sogno,A,1,5,0.026387036967591156
Sogno,A,2,3,0.030682813331386692
Sogno,A,2,4,0.06541795902935572
Sogno,A,2,5,0.01769033840767941
Sogno,A,3,4,0.087770925210964
Sogno,A,3,5,0.03290926012466391
Sogno,A,4,5,0.04730382999790397
Sogno,B,1,2,0.04362084177555315
Sogno,B,1,3,0.03266587571890927
Sogno,B,1,4,0.1627487049820932
Sogno,B,1,5,0.03784808519421285
Sogno,B,2,3,0.18335180641442647
Sogno,B,2,4,0.05702653849014846
Sogno,B,2,5,0.23158550182542273
Sogno,B,3,4,0.04596368853476082
Sogno,B,3,5,0.16039470305873382
Sogno,B,4,5,0.04674050871899035
Sogno,C,1,2,0.3430610256000465
Sogno,C,1,3,0.25970023417572174
Sogno,C,1,4,0.2741640584944457
Sogno,C,1,5,0.3632131258479984
Sogno,C,2,3,0.211986855465849
Sogno,C,2,4,0.23221396985351703
Sogno,C,2,5,0.315531396086139
Sogno,C,3,4,0.24943528131238998
Sogno,C,3,5,0.23810520166092525
Sogno,C,4,5,0.20804778904760488
